"","Gdpe","Gne","GneDfd","GneCii","GneDfdFce","GneDfdGfc","GneCiiPnf","GneDfdFceGvt","GneDfdFceHfc","GneDfdGfcPub","GneDfdGfcPvt","GneDfdFceGvtNat","GneDfdGfcPubGvt","GneDfdGfcPubPcp","GneDfdGfcPvtTdw","GneDfdGfcPvtPbi","GneDfdFceHfcAbt","GneDfdFceHfcMis","GneDfdFceHfcTpt","GneDfdFceHfcHcr","GneDfdFceHfcHlt","GneDfdFceHfcFhe","GneDfdFceHfcHwe","GneDfdGfcPubGvtNat","GneDfdGfcPvtPbiIpr","GneDfdGfcPvtPbiNdc","GneDfdGfcPvtPbiNdm","GneDfdFceGvtNatNdf","GneDfdFceGvtNatDef","GneDfdFceGvtSnl","GneDfdGfcPubGvtNatNdf","GneDfdGfcPubGvtNatDef","GneDfdGfcPubGvtSnl","GneDfdGfcPubPcpCmw","GneDfdGfcPubPcpSnl","GneDfdGfcPvtTdwNnu","GneDfdGfcPvtTdwAna","GneDfdGfcPvtPbiIprRnd","GneDfdGfcPvtPbiIprMnp","GneDfdGfcPvtPbiIprCom","GneDfdGfcPvtPbiIprArt","GneDfdGfcPvtPbiNdcNbd","GneDfdGfcPvtPbiNdcNec","GneDfdGfcPvtPbiNdcSha","GneDfdGfcPvtPbiNdmNew","GneDfdGfcPvtPbiNdmSha","GneDfdGfcPvtPbiCbr","GneDfdGfcPvtOtc","GneDfdFceHfcAbtAlc","GneDfdFceHfcAbtCig","GneDfdFceHfcMisOgd","GneDfdFceHfcMisOsv","GneDfdFceHfcMisIfs","GneDfdFceHfcTptTsv","GneDfdFceHfcTptPvh","GneDfdFceHfcTptOvh","GneDfdFceHfcHcrAsv","GneDfdFceHfcHcrCsv","GneDfdFceHfcHltHsv","GneDfdFceHfcHltMed","GneDfdFceHfcFheFnt","GneDfdFceHfcFheTls","GneDfdFceHfcFheApp","GneDfdFceHfcHweRnt","GneDfdFceHfcHweWsc","GneDfdFceHfcHweEgf","GneDfdFceHfcFud","GneDfdFceHfcCnf","GneDfdFceHfcRnc","GneDfdFceHfcEdc","GneDfdFceHfcCom","GneCiiPnfMin","GneCiiPnfMan","GneCiiPnfWht","GneCiiPnfRet","GneCiiPnfOnf","GneCiiPba","GneCiiPfm","Sde","ExpMinImp"
"85",259513,265123,263013,2110,189621,73392,48,43818,145803,11862,61529,17570,7517,4345,15601,41276,5760,21607,16449,10605,7787,7864,27955,2910,5249,14373,20593,13836,3734,26248,1411,1499,4608,1064,3281,8903,6698,2293,654,2184,118,6979,7322,72,21597,-1005,1061,4652,2848,2912,4382,5229,11997,4023,4269,8158,1916,8688,5365,2421,5048,830,1987,24466,1051,2438,14949,6596,17455,4631,4144,91,-1743,1339,276,85,107,1955,-1274,-4336
"86",240873,242130,243127,-997,178467,64660,-1675,41292,137176,11122,53538,15268,6982,4139,13006,36210,5085,20795,16390,9760,7276,6417,28332,2582,5265,12674,17234,11665,3603,26024,1304,1278,4400,1098,3041,7967,5039,2401,537,2201,124,6221,6504,-51,18067,-833,1037,4321,2536,2549,3556,5372,11867,3776,4512,8102,1861,7899,5347,1929,4174,665,1578,24912,1065,2355,14227,4718,15336,4830,4009,14,-36,-1179,-483,8,110,568,2582,-3839
"87",253044,260690,265091,-4401,192270,72821,-4052,47619,144651,13595,59226,18332,8287,5307,14833,39642,5380,22235,17632,10360,7840,6815,29416,3032,5629,14260,18756,14051,4281,29287,1887,1145,5255,1530,3777,8874,5959,2526,737,2230,136,7325,7535,-599,19755,-999,996,4752,2690,2690,3963,5508,12764,4479,4589,8564,2071,8289,5579,2261,4431,682,1702,25428,1080,2908,14578,5515,15852,4979,4048,-376,-1333,-862,-1441,-40,411,-760,-3373,-4273
"88",262198,263640,264409,-769,193937,70471,618,44759,149178,11962,58509,17859,7383,4579,15051,38666,5559,21980,18203,11004,8541,7178,30604,2952,5962,15062,16692,14077,3782,26900,1324,1628,4431,765,3814,8940,6111,2658,883,2266,155,7738,7548,-223,17803,-1111,950,4792,2842,2716,4172,5683,12125,4825,4371,9007,2378,8626,6109,2432,4659,715,1805,26097,1101,3406,15024,5521,16311,5112,4142,129,-216,228,511,-34,71,-1458,2319,-3761
"89",280426,285484,282388,3096,206530,75858,655,47436,159094,12770,63088,19397,7908,4861,15451,42744,6216,23661,18080,11701,8607,8645,30263,2866,6236,16662,19013,15378,4019,28039,1554,1312,5042,1133,3728,8923,6528,2783,993,2294,166,8430,8622,-390,19999,-987,833,4893,3140,3076,5029,5794,12839,4854,4436,8790,2383,9318,5968,2639,5535,880,2230,26493,1128,2642,16403,7168,18985,5019,4347,75,-1166,788,885,73,26,2415,-321,-4737
"90",263909,266479,264910,1569,195334,69575,888,44919,150416,10892,58684,17255,7114,3777,13781,40149,5572,22737,18568,10732,8066,7193,30727,2557,6247,16458,16639,13285,3971,27663,1091,1466,4558,203,3574,8510,5272,2917,830,2326,174,7670,8753,35,17631,-992,805,4754,2789,2783,4010,5942,12785,4540,5021,9007,2210,8522,5906,2161,4611,751,1831,27018,1152,2557,15629,5265,16368,5370,4189,594,1106,-830,17,2,-79,760,1776,-4346
"91",278613,287408,290088,-2681,208662,81426,-1567,50937,157725,15809,65617,20146,10026,5783,14921,45238,5758,24348,20253,11225,8584,7385,31784,2950,6834,17452,20099,15443,4704,30791,1681,1269,7076,338,5445,8970,5950,3059,1235,2361,179,8412,9811,-771,21016,-917,854,5458,2933,2824,4252,6079,14016,5464,5318,9470,2356,8869,6222,2362,4747,762,1877,27650,1173,2961,15842,5924,17010,5363,4250,358,-258,124,-1720,-71,38,-1152,-3772,-5022
"92",283790,290984,288622,2361,210932,77690,4727,47832,163100,11747,65943,19191,7131,4616,15944,44569,5913,23976,21022,11873,9059,7810,33240,2256,7112,18068,18392,15265,3926,28641,1536,720,4876,232,4384,9588,6356,3276,1262,2403,171,9784,8602,-318,19191,-799,996,5430,3096,2817,4488,5932,13556,6125,5109,9788,2721,9153,6567,2491,5028,851,1931,28206,1282,3752,16434,6054,17916,5435,4368,834,1167,1160,1455,111,-297,-2069,817,-8011
"93",303501,313091,309631,3460,224360,85271,-194,50785,173575,14642,70628,20409,9537,5105,16353,48628,6506,25733,21698,12433,9009,9486,33044,3368,7429,18191,22040,16295,4115,30376,1984,1385,6169,291,4814,9421,6932,3419,1396,2438,176,9669,8837,-316,22902,-862,968,5648,3414,3091,5580,5991,14162,6043,5331,10324,2567,9865,6370,2639,6091,1058,2337,28845,1297,2902,17494,7790,20520,5244,4620,-229,-1118,1263,-70,-40,-174,3827,53,-9643
"94",284084,289841,287493,2348,211017,76476,1305,48500,162517,13550,62926,18781,8500,5050,14588,43016,5746,24089,21214,11127,9147,7653,33676,2775,7408,17483,17170,14600,4180,29719,1357,1418,5725,313,4736,8848,5740,3497,1253,2468,190,8741,8889,-148,17920,-750,955,5323,3055,2691,4295,6103,13690,5324,5398,10492,2371,8756,6306,2841,4944,860,1850,29582,1292,2802,16369,5618,17736,5661,4482,24,1724,-174,-176,-92,-126,1168,2395,-8152
"95",304365,311808,315298,-3490,223079,92219,-2065,55443,167637,19271,72947,21762,12647,6624,16254,51475,5925,25433,22146,11362,9623,7789,35003,4536,7802,20127,22602,16874,4888,33681,1857,2679,8111,308,6317,9731,6523,3509,1585,2495,213,10278,10215,-366,23556,-953,943,5218,3136,2789,4398,6187,14848,5699,5323,11124,2563,8799,6782,2841,4969,851,1969,30413,1267,3323,16126,6176,17880,5762,4411,-1259,-1046,1307,-776,-292,-296,-1129,-3263,-4180
"96",315040,313213,309695,3518,222871,86824,6435,52445,170426,16022,70802,21416,10063,5960,17298,49260,5987,25008,21627,11812,9908,7932,36496,2838,7715,21970,18606,16907,4509,31029,1772,1066,7225,275,5685,10414,6884,3447,1469,2541,259,10627,11758,-414,19669,-1063,968,4245,3225,2761,4375,6095,14538,6272,4144,11211,2795,9016,6993,2915,5036,884,2012,31169,1383,3943,16873,6039,18299,5960,4486,569,861,2934,2008,64,-432,-2484,3706,-1879
"97",329932,326166,327218,-1052,234577,92641,-2133,56079,178497,16942,75699,22804,10868,6074,17018,54591,6807,26674,19246,12018,9700,9605,36339,3500,7970,23970,21781,18179,4625,33275,1823,1677,7368,344,5730,10040,6978,3459,1662,2568,282,10472,13802,-304,22967,-1186,871,4090,3679,3128,5259,6126,15290,5544,3905,9797,2614,9404,6813,2887,6019,1085,2502,31968,1364,3007,18478,7847,21191,5880,4713,-578,-2694,933,90,115,-541,1623,2579,1187
"98",302115,295695,297227,-1533,219635,77593,-1782,52480,167155,15033,62559,19850,9867,5166,14236,44704,6112,25213,17978,11004,9652,7763,37040,2869,7743,19333,16794,15474,4375,32630,1375,1494,6998,279,4888,8628,5608,3480,1402,2570,292,8534,11370,-571,17807,-1014,834,3620,3336,2775,4151,6200,14862,4627,3949,9402,2326,8678,6652,3000,4957,882,1925,32697,1346,2998,17782,5868,17930,6351,4463,741,-123,-1637,-798,36,-529,778,1601,4819
"99",311216,320560,324445,-3885,234720,89725,-3604,60230,174490,18400,71325,23533,11849,6551,14891,51957,6398,26594,18698,11760,10028,8229,38306,3809,7846,21903,21365,18129,5403,36697,2177,1632,8040,365,6186,9192,5700,3509,1501,2548,288,8574,13713,-384,22259,-894,843,4476,3502,2896,4467,6351,15776,5015,4022,9660,2607,9152,7004,3025,5299,917,2013,33361,1337,3607,17612,6932,18874,6654,4407,463,-107,-2768,-1120,-72,519,-800,-7884,-1459
"100",313098,318122,317112,1010,234089,83024,2988,55400,178689,16803,66220,21864,10785,6019,16760,44765,6423,26360,19999,12196,10303,8317,39784,2571,7618,19605,16696,17185,4680,33535,1912,659,8214,408,5610,10059,6700,3546,1355,2446,271,8017,11910,-322,17976,-1281,847,4695,3615,2808,4472,6582,15306,5672,3814,10513,2991,9205,7330,2973,5383,967,1966,33787,1556,4441,17721,6728,19430,6902,4525,1570,-2153,2601,981,-12,262,-2240,1612,-6636
"101",333437,340928,340696,231,247584,93112,-1726,58249,189336,20056,73056,23328,13607,6449,17336,50589,6975,27715,20235,13185,10365,10215,39253,3972,7674,20170,21979,18636,4692,34921,2081,1892,9635,512,5937,9785,7552,3576,1406,2424,268,8429,11951,-210,23268,-1289,766,5131,3962,3013,5422,6723,15570,5582,4227,10426,2926,10259,7429,2936,6696,1168,2351,34331,1560,3361,19176,8672,22004,6818,4722,-161,-397,-739,-523,94,-246,2204,126,-7617
"102",313471,313867,313363,504,233094,80269,-234,55412,177682,19971,60298,21126,13596,6375,14673,40639,6216,26588,19975,11991,10541,8118,39711,3656,7653,16741,15452,16545,4580,34286,1678,1978,9940,442,5933,8804,5869,3607,1323,2458,266,7282,10015,-557,16535,-1083,793,4986,3510,2706,4177,6892,15519,5117,4421,10437,2672,9319,7301,3239,5330,960,1828,34848,1567,3295,17814,6164,18776,7274,4515,136,-154,-73,-291,148,260,478,3437,-3832
"103",339073,339560,344477,-4917,249993,94484,-4013,64688,185305,24128,70357,25796,17192,6935,16993,48121,6800,27751,21359,12365,10898,8379,41206,6615,8093,20698,18417,19655,6142,38892,2888,3727,10577,272,6663,10339,6653,3638,1643,2548,264,8319,12868,-490,19546,-1129,913,5243,3580,3220,4576,7001,16173,5825,4868,10666,2908,9457,7817,3082,5454,987,1938,35463,1574,4169,17747,6974,19917,7385,4524,-1397,779,-3591,197,0,24,-928,-5174,4687
"104",344025,337986,337231,756,248794,88436,2127,58866,189929,18482,69954,23125,12516,5967,18544,46580,6948,27320,22107,13241,11017,8716,42722,2917,8117,22093,15131,18265,4861,35740,1782,1135,9598,318,5649,11396,7148,3628,1520,2719,250,8765,13598,-270,16293,-1161,1238,4830,3710,3238,4728,7144,15449,6526,4409,11173,3218,10023,7809,3208,5657,1033,2026,35927,1819,4976,18121,6970,20622,7552,4591,-478,813,335,1336,122,-8,-1364,3064,2974
"105",364110,361039,357556,3483,262683,94873,402,63044,199640,20223,74650,25427,14425,5798,18093,51653,7868,28585,22208,13845,10849,10406,42147,4410,8291,23213,18893,20522,4905,37617,2135,2275,10014,354,5444,10719,7374,3659,1574,2809,249,8396,15064,-246,19991,-1098,1255,4905,4226,3642,5475,7204,15906,6395,4286,11526,3049,10796,7770,3079,6727,1245,2434,36488,1831,3829,19477,8770,23301,7375,4810,-777,-341,1490,-39,69,183,2898,783,2288
"106",340347,335529,333933,1596,249351,84582,1302,60282,189069,17744,66838,23008,12096,5648,15994,46438,6930,27392,22154,12426,11319,8401,42728,3626,8284,21970,14925,18206,4802,37274,2026,1600,8470,436,5212,9633,6361,3735,1416,2875,259,6939,15323,-293,16129,-1203,1258,4406,3699,3231,4336,7341,15716,5796,4552,11805,2780,9646,7799,3520,5478,1036,1886,37193,1843,3692,18828,6206,19961,8038,4687,755,925,183,-633,72,-131,425,2008,2810
"107",365738,365979,365421,558,266148,99273,1363,69670,196478,21860,77413,27606,14829,7031,17796,55042,7281,28777,22971,13264,11450,8740,44249,5809,8807,25689,19317,21493,6113,42064,2399,3410,9020,579,6452,10468,7329,3855,1756,2915,280,7866,18118,-295,20283,-966,1229,4575,3920,3360,4669,7458,16650,6713,4399,11859,3060,10204,7979,3471,5714,1051,1975,37832,1851,4566,18915,7087,21040,8044,4661,694,249,254,152,14,20,-824,-5855,5614
"108",371754,364448,364154,294,266393,97761,1524,64637,201756,16201,81560,25996,11100,5101,18311,58695,7305,28443,23896,13947,11823,9185,45959,3332,9107,30621,17841,20931,5065,38641,2006,1326,7768,597,4505,10635,7677,4070,1764,2949,325,8399,22428,-206,18976,-1135,1125,4553,4031,3274,4819,7612,16012,7272,4304,12319,3349,10598,8463,3360,6013,1137,2034,38479,2021,5460,19475,6814,21943,8264,4702,524,-481,655,891,-65,149,-1378,5010,2295
"109",387192,387371,383009,4362,278580,104429,1858,68189,210391,20907,83522,27833,15763,5144,17916,61008,8159,29518,23734,14597,11187,11008,45225,4718,9455,29608,20939,22559,5274,40356,2835,1883,11045,626,4518,10089,7827,4189,1930,2990,347,8142,23491,-2025,22127,-1188,1006,4598,4501,3658,5757,7704,16057,7044,4404,12287,3165,11431,8056,3131,7177,1372,2459,39041,2030,4153,20492,8928,24550,8037,4958,377,-786,1795,450,21,205,2299,-460,281
"110",357540,357565,355229,2336,262118,93110,1910,63150,198968,16229,76881,23898,10903,5326,15016,57544,7288,28198,23220,13517,11868,8775,45801,3232,9100,31257,16226,18729,5169,39252,2194,1038,7671,549,4777,8935,6081,4257,1472,3013,358,7342,24370,-456,17481,-1256,962,4321,4021,3267,4573,7843,15782,6555,4599,12066,2960,10557,8419,3448,5731,1102,1942,39603,2057,4140,19221,6472,21008,8828,4773,1767,1382,-146,-780,-312,99,326,4244,-4269
"111",380314,391145,393445,-2300,279576,113869,-1812,73189,206387,24692,89178,29454,17179,7513,16096,68274,7529,29817,24323,13727,12714,9002,47473,7165,9635,36546,21116,22918,6535,43736,2766,4398,10014,847,6666,9535,6561,4273,1985,3017,360,8319,28371,-144,22230,-1114,977,4808,4042,3487,4840,7959,17018,7122,5190,12011,3102,10626,8149,4565,5891,1106,2005,40254,2069,5149,19224,7439,21609,8799,4729,1005,-2076,468,-1086,-122,203,-691,-8795,-2036
"112",379249,385414,383581,1833,277919,105662,3008,66135,211784,17019,88643,26292,11314,5705,17476,66553,7661,29498,24672,14672,13259,9403,49228,3265,9569,37158,18702,20875,5417,39843,1967,1298,8049,990,4716,10540,6936,4238,1979,3000,352,8894,28647,-384,19895,-1193,1124,4613,4192,3469,4773,8127,16599,7449,4887,12336,3407,11264,8573,4686,6149,1222,2033,40774,2157,6297,19961,7120,22459,8998,4852,993,157,594,1293,-29,100,-1275,1766,-7931
"113",395835,405032,402235,2797,288984,113251,352,68751,220233,23460,89791,27852,13158,10302,17875,67005,8245,31310,24852,14821,12881,10992,48177,3806,9835,34525,21617,22315,5537,40899,2393,1413,9351,1020,9282,10590,7285,4254,2223,3005,353,9734,30270,-5479,22817,-1200,1028,4912,4545,3700,5666,8202,17441,7010,5152,12691,3270,11551,8723,4158,7171,1424,2397,41278,2169,4730,21436,9233,24374,8813,5099,-165,-1078,1135,372,87,-54,2500,-482,-8715
"114",368859,367311,368365,-1054,272474,95892,-1287,64867,207607,17698,78193,25087,11650,6049,15635,58129,7615,29748,24215,13532,12933,8961,48493,3175,9319,32426,15402,19805,5282,39780,1793,1382,8475,966,5083,9866,5769,4269,1682,3013,354,8406,24985,-965,16660,-1259,982,4429,4041,3575,4489,8331,16928,6361,5116,12738,2968,10565,8832,4101,5857,1182,1922,41859,2148,4486,20221,6537,20754,9611,4984,363,1204,-2403,-402,-48,-45,277,3110,-1562
"115",389940,396037,399043,-3007,287851,111192,-1708,73905,213946,18935,92257,28940,14291,4644,17766,68904,7716,31062,25024,14095,13369,9182,50081,4177,9629,39585,18723,22766,6174,44965,2355,1822,10114,1274,3370,11065,6701,4284,1966,3026,354,9502,27439,2644,19871,-1148,967,5587,4109,3606,4761,8451,17850,7061,5438,12524,3265,10830,9385,3984,5984,1212,1985,42408,2159,5514,20135,7611,21042,9610,5021,186,-431,-152,-1288,-23,-221,-1077,-4393,-1704
"116",391772,395458,395259,199,289191,106068,2330,68386,220805,16261,89808,27533,10493,5768,18757,65326,8038,31648,25945,14955,13616,9599,51739,3394,9460,38128,16790,22201,5332,40853,1837,1556,7099,1448,4319,11626,7131,4339,1754,3004,364,10002,29281,-1155,18118,-1329,948,5725,4298,3739,4859,8635,18155,7638,5017,13290,3592,11363,9545,4072,6212,1339,2048,42795,2413,6531,20749,7573,22029,9837,5076,1357,-1099,454,1570,48,-182,-1949,1906,-5592
"117",414850,417501,415554,1947,303449,112105,-1127,72324,231125,19663,92441,29869,13122,6541,19061,66940,8610,33562,25904,15328,13454,11476,50693,4308,9384,38301,18362,24311,5558,42455,2260,2048,8814,1253,5288,11475,7586,4353,1651,3016,364,10081,30029,-1809,19740,-1378,894,6440,4646,3965,5909,8715,18938,7431,5142,13331,3176,12152,9345,4110,7442,1592,2441,43207,2426,5060,22408,9954,24966,9604,5166,-899,-678,1060,-511,-98,-64,3138,-663,-1988
"118",386187,379074,381784,-2710,284593,97190,-3104,66366,218227,16742,80449,25594,11502,5240,17717,57232,8232,32116,24574,14508,13798,9391,50887,3071,9226,32700,14480,19842,5753,40772,1817,1254,8431,1023,4217,10878,6839,4326,1480,3067,354,8938,24522,-760,15827,-1347,827,5499,4251,3981,4657,8824,18635,6409,5080,13086,2807,11701,9575,4223,6115,1329,1946,43616,2487,4783,21167,6934,21173,10350,5099,-80,-1095,-1232,-978,282,64,329,3380,3734
"119",402967,410579,412232,-1653,300094,112138,-725,75321,224773,21297,90841,29568,16028,5269,20151,64608,8239,33607,25364,15392,14066,9628,52270,4616,9793,36453,17576,22803,6765,45753,2621,1996,11412,1465,3805,12540,7611,4256,2048,3156,333,10352,26070,30,18943,-1367,787,6082,4390,3849,4931,8934,19742,7123,5528,12714,3324,12068,9848,4218,6252,1348,2028,44103,2505,5662,21044,7750,22115,10244,5054,909,101,-982,-726,-27,223,-1150,-4623,-2989
"120",401650,406959,404233,2726,299945,104288,4598,70082,229863,15661,88626,28026,11120,4542,21135,60963,8409,33468,25513,16294,14486,10076,53605,3702,9162,34219,16859,22012,6014,42056,2387,1316,7417,1032,3510,13199,7935,4144,1435,3301,282,11283,24033,-1097,18563,-1705,723,6529,4544,3865,5067,9111,19291,7585,5008,12920,3723,12572,10222,4265,6570,1463,2043,44653,2526,6427,21617,7452,23251,10496,5195,1170,-408,1130,2588,118,109,-1982,1602,-6911
