"","Gdpe","Gne","GneDfd","GneCii","GneDfdFce","GneDfdGfc","GneCiiPnf","GneDfdFceGvt","GneDfdFceHfc","GneDfdGfcPub","GneDfdGfcPvt","GneDfdFceGvtNat","GneDfdGfcPubGvt","GneDfdGfcPubPcp","GneDfdGfcPvtTdw","GneDfdGfcPvtPbi","GneDfdFceHfcAbt","GneDfdFceHfcMis","GneDfdFceHfcTpt","GneDfdFceHfcHcr","GneDfdFceHfcHlt","GneDfdFceHfcFhe","GneDfdFceHfcHwe","GneDfdGfcPubGvtNat","GneDfdGfcPvtPbiIpr","GneDfdGfcPvtPbiNdc","GneDfdGfcPvtPbiNdm","GneDfdFceGvtNatNdf","GneDfdFceGvtNatDef","GneDfdFceGvtSnl","GneDfdGfcPubGvtNatNdf","GneDfdGfcPubGvtNatDef","GneDfdGfcPubGvtSnl","GneDfdGfcPubPcpCmw","GneDfdGfcPubPcpSnl","GneDfdGfcPvtTdwNnu","GneDfdGfcPvtTdwAna","GneDfdGfcPvtPbiIprRnd","GneDfdGfcPvtPbiIprMnp","GneDfdGfcPvtPbiIprCom","GneDfdGfcPvtPbiIprArt","GneDfdGfcPvtPbiNdcNbd","GneDfdGfcPvtPbiNdcNec","GneDfdGfcPvtPbiNdcSha","GneDfdGfcPvtPbiNdmNew","GneDfdGfcPvtPbiNdmSha","GneDfdGfcPvtPbiCbr","GneDfdGfcPvtOtc","GneDfdFceHfcAbtAlc","GneDfdFceHfcAbtCig","GneDfdFceHfcMisOgd","GneDfdFceHfcMisOsv","GneDfdFceHfcMisIfs","GneDfdFceHfcTptTsv","GneDfdFceHfcTptPvh","GneDfdFceHfcTptOvh","GneDfdFceHfcHcrAsv","GneDfdFceHfcHcrCsv","GneDfdFceHfcHltHsv","GneDfdFceHfcHltMed","GneDfdFceHfcFheFnt","GneDfdFceHfcFheTls","GneDfdFceHfcFheApp","GneDfdFceHfcHweRnt","GneDfdFceHfcHweWsc","GneDfdFceHfcHweEgf","GneDfdFceHfcFud","GneDfdFceHfcCnf","GneDfdFceHfcRnc","GneDfdFceHfcEdc","GneDfdFceHfcCom","GneCiiPnfMin","GneCiiPnfMan","GneCiiPnfWht","GneCiiPnfRet","GneCiiPnfOnf","GneCiiPba","GneCiiPfm","Sde","ExpMinImp"
"121",420611,426488,424293,2194,313897,110396,-835,73653,240244,17337,93059,29788,12797,4540,22126,63751,9077,35396,25104,16558,14364,12134,52579,4322,9338,34015,19703,23594,6194,43865,2492,1830,8475,991,3549,13697,8429,4074,1612,3390,262,11232,23833,-1050,21253,-1550,696,7183,5014,4063,6248,9202,19945,7415,5091,12598,3489,13069,10085,4279,7924,1723,2487,45162,2537,4880,23118,9804,26544,10212,5354,-1051,-1886,1518,201,383,-147,3177,-1169,-4708
"122",391315,390649,391478,-829,295455,96023,-751,69547,225908,15432,80591,27247,10835,4597,20522,53430,8449,33936,23992,15419,14298,9914,52855,3241,9004,28965,14790,20897,6351,42300,2166,1075,7595,1167,3430,13313,7210,4004,1278,3462,260,10236,19341,-613,16410,-1620,671,6639,4526,3923,4986,9371,19578,6865,5326,11800,2956,12463,10014,4284,6507,1418,1988,45549,2548,4758,21597,7000,22344,10987,5117,-569,686,-1056,75,114,-180,102,3278,-2611
"123",407829,421979,424729,-2750,312887,111842,-1393,79426,233461,22756,89086,32153,16319,6437,22523,59335,8346,35697,25556,15754,14760,10191,54324,5129,8770,31100,18776,25053,7100,47273,2987,2141,11190,1212,5225,14123,8401,3933,1042,3517,278,11355,20491,-746,20418,-1642,689,7228,4438,3909,5267,9506,20924,7348,5899,12309,3541,12214,10636,4124,6707,1432,2052,45990,2562,5771,21554,8111,23052,10971,5145,104,-48,-596,-616,-236,-78,-1280,-3711,-10439
"124",410937,418271,416841,1429,313339,103503,3546,74078,239260,15283,88219,30005,10181,5103,24471,56167,8630,35599,26213,16563,15438,10680,55522,2938,8660,30578,16179,23207,6798,44073,1835,1103,7243,1369,3734,15771,8699,3811,977,3552,320,11745,19227,-394,17819,-1641,750,7582,4595,4034,5437,9725,20438,8121,5607,12485,3962,12600,11030,4408,7019,1548,2113,46300,2651,6571,22159,7902,24134,11209,5212,614,-1108,1274,2353,412,-91,-2025,3972,-11305
"125",428024,441207,437590,3617,328275,109315,480,77629,250646,18270,91045,32177,12477,5793,24876,58335,9414,37453,25774,16998,15118,12832,54419,3842,8549,29691,19400,25250,6927,45452,2245,1597,8634,2045,3748,15904,8971,3740,864,3607,338,11965,18133,-407,21011,-1612,695,7834,5091,4323,6566,9829,21059,7676,5706,12391,3657,13341,10449,4669,8383,1807,2643,46698,2664,5057,23998,10444,27964,10921,5311,-417,-956,485,1261,107,142,2994,-279,-12904
"126",398408,400889,403211,-2322,308257,94954,-2607,73240,235017,17220,77735,28791,11973,5247,22792,48049,8830,35862,24433,15807,14683,10500,54451,3698,8455,24492,14346,21526,7265,44449,1923,1774,8275,1613,3634,15380,7411,3722,718,3665,350,10025,15062,-595,16042,-1696,757,6894,4669,4161,5237,9972,20653,6946,5759,11728,3084,12723,10299,4383,6893,1519,2088,46931,2680,4840,22662,7535,23550,11598,5107,-521,258,-1289,-1028,-27,52,233,3592,-6073
"127",422234,436834,438455,-1621,327524,110930,-377,84377,243147,25167,85763,34541,17927,7240,25853,52190,8844,37702,25650,16677,15926,10673,55884,5602,8474,23851,18940,26512,8029,49836,3185,2417,12325,1954,5286,17113,8740,3756,637,3725,356,11227,14502,-1878,20550,-1610,925,7721,4742,4102,5545,10103,22053,7648,6340,11662,3666,13011,11546,4379,7010,1517,2145,47365,2690,5829,22280,8703,24100,11601,5107,299,-760,1398,-1036,-278,64,-1308,-7285,-7315
"128",423887,429859,426512,3347,326213,100299,5541,78638,247575,16954,83345,32441,11675,5278,26302,49811,8956,37653,25683,17583,16015,11100,57652,3503,8735,23292,16503,25139,7303,46197,2182,1321,8172,1589,3689,17422,8879,3862,735,3785,353,10350,13536,-594,18200,-1697,1281,7232,4868,4088,5580,10283,21789,8109,5702,11872,3975,13608,11488,4527,7362,1615,2123,47903,2671,7079,22980,8323,24652,11815,5162,339,-365,3027,2356,183,-167,-2026,376,-6348
"129",456457,454464,451042,3422,340948,110094,331,81079,259869,22174,87920,33798,14664,7510,27362,52757,9793,39819,26081,17567,15941,13341,56440,4993,8837,23577,19013,26668,7130,47281,2742,2251,9671,2430,5080,17564,9798,3896,737,3845,360,11171,14482,-2077,20719,-1706,1330,7801,5271,4522,6819,10356,22644,8045,5776,12260,3535,14032,11421,4520,8792,1904,2644,48349,2678,5413,24959,10920,28197,11488,5323,-1510,-945,2217,549,20,299,2793,-3988,5981
"130",429024,416627,416919,-292,320130,96789,-594,76444,243686,19541,77248,29929,13401,6140,23462,46327,9116,37963,25473,16105,15949,10533,56877,3909,8870,22254,13817,22574,7355,46515,2260,1650,9492,2140,4000,15794,7668,3910,684,3906,370,10286,13802,-1835,15617,-1799,1385,7460,4669,4448,5290,10455,22219,7009,5988,12475,3023,13082,11314,4634,6920,1508,2105,48755,2690,5432,23286,7554,23611,12072,5146,872,554,-1255,-700,-66,-139,441,3951,8446
"131",448476,452564,455543,-2979,340930,114613,-2002,88283,252647,29055,85558,35221,21766,7289,26403,51089,9287,40085,26467,17113,16684,10963,58275,5647,9037,22185,18439,27379,7842,53062,2751,2897,16118,2523,4766,17304,9099,3904,780,3970,384,11277,14429,-3522,20361,-1922,1428,8066,4860,4427,5633,10575,23877,7812,6395,12260,3513,13601,11702,4982,7227,1540,2196,49293,2698,6284,23449,8718,24335,12072,5200,576,490,-1419,-1684,35,190,-1167,-6932,2844
"132",449701,447516,445757,1759,337969,107789,3763,80920,257049,19144,88644,32736,13627,5517,26457,54462,9536,39883,26521,17981,16847,11155,60422,3895,9069,27229,16740,25277,7459,48184,2270,1625,9732,2010,3507,17791,8666,3878,759,4032,400,12089,15597,-457,18510,-1770,1425,7726,4945,4591,5703,10745,23434,8207,5768,12546,4080,13902,12042,4805,7371,1622,2162,49717,2800,7906,23774,8306,25031,12379,5213,-237,1045,1109,1817,28,-10,-1993,1886,299
"133",471548,475128,471410,3718,357159,114251,868,86264,270894,22449,91802,36082,16688,5761,26878,56900,10805,41994,27039,18908,16868,13318,58892,4974,9121,26272,20156,28656,7426,50182,2855,2119,11714,2316,3445,17483,9395,3872,740,4095,414,12755,14911,-1394,21931,-1775,1351,8024,5509,5296,6964,10825,24205,8134,5791,13113,4101,14807,11857,5011,8739,1891,2688,50284,2807,5801,25683,10856,29087,12085,5358,120,-598,637,531,179,-28,2879,-2116,-1464
"134",445715,434600,436176,-1576,335951,100225,-1670,81218,254733,19895,80331,31880,14159,5735,23969,49103,9960,40272,26382,17076,16722,10829,59438,3734,9077,23542,15090,24334,7546,49338,2194,1539,10425,2207,3529,15930,8039,3866,622,4161,429,10649,13540,-646,16942,-1852,1394,7259,4842,5118,5458,10951,23863,7401,6007,12974,3484,13593,11489,5232,7141,1575,2113,50752,2818,5868,24228,7641,24295,12690,5200,-848,1057,358,-2014,-223,110,-16,5356,5759
